taxonId,taxon
dysstroma_truncata_truncata,Dysstroma truncata truncata
eana_argentana,Eana argentana
eana_incanana,Eana incanana
eana_osseana,Eana osseana
eana_penziana,Eana penziana
eana_penziana_colquhounana,Eana penziana colquhounana
eana_penziana_subsp__bellana,Eana penziana subsp. bellana
earophila_badiata,Earophila badiata
ecliptopera,Ecliptopera
ecliptopera_silaceata,Ecliptopera silaceata
ectoedemia,Ectoedemia
ectoedemia_albifasciella,Ectoedemia albifasciella
ectoedemia_angulifasciella,Ectoedemia angulifasciella
ectoedemia_arcuatella,Ectoedemia arcuatella
ectoedemia_argyropeza,Ectoedemia argyropeza
ectoedemia_atricollis,Ectoedemia atricollis
ectoedemia_intimella,Ectoedemia intimella
ectoedemia_minimella,Ectoedemia minimella
ectoedemia_occultella,Ectoedemia occultella
ectoedemia_rubivora,Ectoedemia rubivora
ectoedemia_subbimaculella,Ectoedemia subbimaculella
ectropis,Ectropis
ectropis_crepuscularia,Ectropis crepuscularia
eilema_complana,Eilema complana
eilema_complana_form_sericea,Eilema complana form sericea
eilema_depressa,Eilema depressa
eilema_griseola,Eilema griseola
eilema_griseola_ab__stramineola,Eilema griseola ab. stramineola
eilema_lurideola,Eilema lurideola
eilema_sororcula,Eilema sororcula
elachista_adscitella,Elachista adscitella
elachista_albidella,Elachista albidella
elachista_albifrontella,Elachista albifrontella
elachista_alpinella,Elachista alpinella
elachista_argentella,Elachista argentella
elachista_atricomella,Elachista atricomella
elachista_biatomella,Elachista biatomella
elachista_bisulcella,Elachista bisulcella
elachista_canapennella,Elachista canapennella
elachista_freyerella,Elachista freyerella
elachista_gangabella,Elachista gangabella
elachista_gleichenella,Elachista gleichenella
elachista_humilis,Elachista humilis
elachista_kilmunella,Elachista kilmunella
elachista_luticomella,Elachista luticomella
elachista_maculicerusella,Elachista maculicerusella
elachista_obliquella,Elachista obliquella
elachista_rufocinerea,Elachista rufocinerea
elachista_serricornis,Elachista serricornis
elachista_subalbidella,Elachista subalbidella
elachista_triatomea,Elachista triatomea
electrophaes_corylata,Electrophaes corylata
elegia_similella,Elegia similella
elophila_nymphaeata,Elophila nymphaeata
ematurga,Ematurga
ematurga_atomaria,Ematurga atomaria
